District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Male_Workers,Female_Workers,Frontline_Workers,Industrial_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated
575,KARNATAKA,Dakshina Kannada,2089649,1034714,1054935,1666323,864019,802304,620903,376818,914476,83245,1091928,33810,29274,188207,746430,175270,386300,23305,55233,332919,317373,191317,520715,296110,309141,178989,185916,36295,1072417,608450,407902,880
576,KARNATAKA,Kodagu,554519,274608,279911,412877,215302,197575,172100,106838,258753,20185,275581,21174,15153,1549,241062,40958,113931,3308,10758,181182,31792,51287,111562,75291,86232,54939,43225,8251,276918,163360,113919,322
577,KARNATAKA,Mysore,3001127,1511600,1489527,1962180,1063766,898414,921803,392465,1082108,232160,1686859,349337,311002,28162,625767,273706,640868,28397,80086,540596,380386,207091,537686,404565,452412,222230,212541,26834,1580116,865220,553705,2086
578,KARNATAKA,Chamarajanagar,1020791,512231,508560,565279,312957,252322,324326,157367,381408,100285,539098,113105,214303,14007,140278,40944,212156,1334,11863,262680,57200,82487,204765,132421,109361,57053,34799,9600,519046,294903,206003,839
579,KARNATAKA,Gulbarga,2566326,1301755,1264571,1427368,828359,599009,680001,407027,844237,242791,1479298,220198,415267,25891,425672,77334,404767,9752,52483,400704,199303,177860,579057,270622,290570,153746,104256,20492,1570719,604665,388935,2007
580,KARNATAKA,Yadgir,1174271,590329,583942,510003,306751,203252,317135,230561,437241,110455,626575,159333,234655,13192,140516,18978,156222,1410,13216,207787,55208,98481,204926,77942,73599,40104,27728,4634,738451,267222,168186,412
581,KARNATAKA,Kolar,1536401,776396,760005,1016219,564110,452109,454048,263824,584590,133282,818529,183057,201233,24178,309404,72407,309494,5051,27235,326567,151042,138015,289841,228422,225498,107929,71422,17961,841499,419380,274240,1282
582,KARNATAKA,Chikkaballapura,1255104,636437,618667,783222,442158,341064,384452,255326,535565,104213,615326,212226,206939,20276,200337,50936,257243,2672,17360,315649,94053,100059,219778,193549,187040,80928,55056,6631,666451,350299,236864,1490
583,KARNATAKA,Bangalore Rural,990923,509172,481751,688749,385311,303438,315499,144392,389989,69902,531032,127770,84108,19457,228556,77454,214253,3729,17066,231052,95410,100770,168165,126285,166677,82235,51015,10741,535765,278153,176083,922
584,KARNATAKA,Ramanagara,1082636,548008,534628,674758,378461,296297,344349,187110,458841,72618,551177,208130,102460,17723,203146,46872,238926,2844,18003,266950,84834,98447,187673,119218,155358,77233,46318,8802,559082,297330,224785,1439
585,GOA,North Goa,818008,416677,401331,663060,351738,311322,239125,88533,269437,58221,490350,15402,14120,8862,289274,132612,173951,23440,56266,115859,209230,40968,101521,148792,153887,87513,86781,16601,380926,260533,175035,1514
586,GOA,South Goa,640537,322463,318074,502427,264085,238342,180411,69179,206616,42974,390947,15952,12640,5846,215152,102191,138810,17624,44299,88620,162873,29874,73039,119869,108989,64786,57460,9579,314480,194872,130605,580
587,LAKSHADWEEP,Lakshadweep,64473,33123,31350,52553,28023,24530,15318,3435,10804,7949,45720,0,0,264,18489,1779,10669,327,1501,5289,15953,5641,13391,13836,13997,6642,3491,1059,33877,19244,11237,115
588,KERALA,Kasaragod,1307375,628613,678762,1037492,516476,521016,325095,137903,372700,90298,844377,23732,38774,24496,375996,74092,237670,10378,32484,251641,166164,115476,268084,230416,238900,122657,76192,16585,688763,369883,246975,1754
589,KERALA,Kannur,2523003,1181446,1341557,2138434,1012956,1125478,609377,214739,694209,129907,1698887,36549,82988,12875,691704,115356,511167,32653,83940,306288,566191,204713,487016,491844,540383,308670,217203,40277,1187177,741984,588081,5761
590,KERALA,Wayanad,817420,401684,415736,645585,328136,317449,228639,111438,263445,76632,477343,52759,101630,4574,181114,23028,149864,4712,15944,266183,11805,65326,144896,137227,184266,87042,51111,8786,412806,246590,157326,698
591,KERALA,Kozhikode,3086293,1470942,1615351,2615443,1266939,1348504,752333,196648,754187,194794,2137312,26543,64198,13312,844928,145558,641660,36791,107602,323793,666543,247996,564392,647221,630818,351267,250117,53166,1487644,909581,686109,2959
592,KERALA,Malappuram,4112920,1960328,2152592,3311315,1597404,1713911,898157,164267,852047,210377,3050496,57567,117405,18423,869029,139994,730119,27909,119918,634543,522586,415601,770417,814285,933793,392867,203779,41344,2406005,1041361,662311,3243
593,KERALA,Palakkad,2809934,1359478,1450456,2239492,1122600,1116892,746121,296219,875540,166800,1767594,67805,249949,25035,699551,178386,587583,27162,69440,665899,228442,249198,492864,608176,572412,232109,180540,36370,1395222,802611,608966,3135
594,KERALA,Thrissur,3121200,1480763,1640437,2678548,1282261,1396287,789511,306216,929506,166221,2025473,41786,73941,27883,952117,338350,721625,56148,132774,336748,715119,222627,445696,524387,821831,362657,338600,71535,1394214,931841,792182,2963
595,KERALA,Ernakulam,3282388,1619557,1662831,2855676,1425723,1429953,913249,336094,1061388,187955,2033045,50423,71391,23976,1103553,499291,771287,88737,184167,369694,804997,212263,446380,554817,702511,389793,429880,113133,1396968,1024720,858010,2690
596,KERALA,Idukki,1108974,552808,556166,923010,471881,451129,331710,184653,415947,100416,592611,100917,145698,6888,262860,54626,244844,8250,24863,391610,20823,79149,166604,209398,261237,136428,86136,19252,494456,352163,261471,884
597,KERALA,Kottayam,1974551,968289,1006262,1749798,861592,888206,530322,205413,604553,131182,1238816,49991,63052,18523,604169,187213,464039,37849,83999,481967,196194,117681,271496,373998,475724,280720,221350,52339,811653,596302,565048,1548
598,KERALA,Alappuzha,2127789,1013142,1114647,1852797,890552,962245,536738,267733,596387,208084,1323318,25237,71706,35865,671663,274392,507913,28842,71593,331419,392117,133039,334339,418953,573306,274789,198858,58096,891512,648522,585591,2164
599,KERALA,Pathanamthitta,1197412,561716,635696,1062553,499181,563372,281854,110940,293257,99537,804618,41414,55455,11074,284851,128889,302296,21015,49466,414992,57848,64054,146138,202197,371128,172884,123549,32477,479207,346161,370887,1157
600,KERALA,Kollam,2635375,1246968,1388407,2240273,1074345,1165928,644362,267663,695299,216726,1723350,56693,92193,21511,741628,263148,630767,31542,83133,523715,401415,172247,406592,562529,595191,307950,233402,64052,1177359,795245,660965,1806
601,KERALA,Thiruvananthapuram,3301427,1581678,1719749,2785408,1354857,1430551,864101,367568,921282,310387,2069758,38837,94470,28587,1069775,343590,783872,71621,155321,559293,609824,206328,460690,642470,682156,389161,381782,76129,1488441,989238,820024,3724
602,TAMIL NADU,Thiruvallur,3728104,1876062,1852042,2791721,1495711,1296010,1103563,434491,1247918,290136,2190050,73444,270586,58240,1135784,621907,909400,75634,174279,387237,732196,181452,461918,600731,622789,303091,451321,66378,1925296,1154775,643614,4419
603,TAMIL NADU,Chennai,4646732,2335844,2310888,3776276,1968079,1808197,1369302,447995,1619554,197743,2829435,14454,13674,37345,1751824,910262,1096334,217368,355838,0,1314125,167207,516445,720331,801050,464207,905515,67277,2271657,1468902,899279,6894
604,TAMIL NADU,Kancheepuram,3998252,2012958,1985294,3013382,1611461,1401921,1181308,492506,1367378,306436,2324438,89343,272514,54732,1257225,622095,961161,100322,200738,438799,774705,183054,535947,608188,634172,312208,526886,67354,2076492,1200284,715895,5581
605,TAMIL NADU,Vellore,3936331,1961688,1974643,2773928,1504355,1269573,1123874,565456,1360185,329145,2247001,175108,391955,136415,985852,417535,865913,20623,69912,653499,486801,191963,721473,719731,641585,311434,308514,71127,2096113,1116437,720713,3068
606,TAMIL NADU,Tiruvannamalai,2464875,1235889,1228986,1626813,909803,717010,738995,499182,970072,268105,1226698,292641,525063,46720,373753,176242,549077,6445,27529,563102,147061,203879,442688,423135,343955,174560,158041,36454,1301347,683904,477668,1956
607,TAMIL NADU,Viluppuram,3458873,1740819,1718054,2195776,1234479,961297,1017383,685866,1260802,442447,1755624,369646,832213,38237,463153,228172,748444,8472,43311,808042,159272,202930,646306,549742,508930,246856,229726,45680,1881463,949892,624042,3476
608,TAMIL NADU,Salem,3482056,1781571,1700485,2285562,1285107,1000455,1083797,610363,1561030,133130,1787896,257004,454210,141503,841443,448968,835377,20660,63867,572813,597539,188672,571061,518763,457866,242306,296399,60365,1737345,1029479,713294,1938
609,TAMIL NADU,Namakkal,1726601,869280,857321,1176131,653312,522819,531463,366782,839152,59093,828356,158473,253726,38797,447249,265276,441044,8960,31581,370357,257127,123573,297179,247516,214836,126468,169206,21582,817905,510413,397064,1219
610,TAMIL NADU,Erode,2251744,1129868,1121876,1492662,828300,664362,732083,463690,1111051,84722,1055971,178170,370212,54322,593069,371015,595211,18604,58861,411286,432398,175017,345914,319484,269016,155344,215514,30391,1006543,701326,542295,1580
611,TAMIL NADU,The Nilgiris,735394,360143,375251,569647,299447,270200,212172,137802,318924,31050,385420,15645,79100,3895,251334,86277,180261,4561,17935,112126,151979,47555,122821,130678,133569,76132,69657,8328,352516,231451,150804,623
612,TAMIL NADU,Dindigul,2159775,1080938,1078837,1481834,816180,665654,665469,439686,963017,142138,1054620,165405,467959,30829,440962,209640,500057,9155,38677,443818,269724,207751,386421,372636,282628,153100,163050,29443,1065734,647806,443528,2707
613,TAMIL NADU,Karur,1064493,528184,536309,727044,401726,325318,329034,214264,508507,34791,521195,85872,200837,11340,245249,135831,264949,4915,17995,212241,152420,76629,190229,167466,146666,77874,85595,14951,501585,320645,241843,420
614,TAMIL NADU,Tiruchirappalli,2722290,1352284,1370006,2038981,1087765,951216,789206,424773,1082329,131650,1508311,170669,378782,30386,634142,333478,651621,30046,79588,452707,423020,229415,444023,447474,418930,223178,291506,70392,1346661,797258,575960,2411
615,TAMIL NADU,Perambalur,565223,282157,283066,375823,208011,167812,162639,137087,255097,44629,265497,117304,118278,5343,58801,49390,135751,1507,7745,155413,33179,85210,106751,85101,71650,41447,44025,9189,291371,158218,115151,483
616,TAMIL NADU,Ariyalur,754894,374703,380191,480604,269582,211022,212547,147304,272241,87610,395043,107312,166837,13564,72138,39642,177502,1749,8371,223955,30322,60697,134123,113437,96860,53934,57524,16126,380484,216103,157771,536
617,TAMIL NADU,Cuddalore,2605914,1311697,1294217,1815281,1000322,814959,749633,420247,837271,332609,1436034,165170,539412,32027,433271,244610,598412,15396,50938,497429,260780,169844,412237,418769,386652,186394,227530,67411,1364411,764669,473617,3217
618,TAMIL NADU,Nagapattinam,1616450,798127,818323,1213008,640916,572092,461174,210820,486328,185666,944456,67482,345057,11555,247900,143846,381940,5585,19692,399016,118724,136593,323359,313357,249630,122350,125639,35762,828444,463326,323706,974
619,TAMIL NADU,Thiruvarur,1264277,626693,637584,946471,503085,443386,369853,170315,412425,127743,724109,69883,295188,10440,164657,109580,303114,4416,15535,321331,86848,138960,250163,243773,203450,103908,99082,28166,627880,377118,257116,2163
620,TAMIL NADU,Thanjavur,2405890,1182416,1223474,1790998,944264,846734,680483,293596,834484,139595,1431811,129913,415361,31200,397605,223044,555582,13495,42912,479070,274302,138375,431983,419605,373111,178126,222410,49261,1193095,712017,499235,1543
621,TAMIL NADU,Pudukkottai,1618345,803188,815157,1110545,608776,501769,471099,290594,640248,121445,856652,209270,305149,13941,233333,82967,354493,4494,18272,399712,104229,97231,283299,270046,251855,121706,111731,31315,835853,470428,311175,889
622,TAMIL NADU,Sivaganga,1339101,668672,670429,959744,526304,433440,391305,228866,461102,159069,718930,141003,199563,14656,264949,113822,314270,5773,24456,309224,143193,101778,216931,236700,199263,103903,115894,23941,666218,391356,280462,1065
623,TAMIL NADU,Madurai,3038252,1526475,1511777,2273430,1223810,1049620,902704,451928,1173902,180730,1683620,92719,372828,47293,841792,391821,754141,34097,95311,417718,592723,234611,525151,532616,453509,250285,363152,39350,1528178,913715,593827,2532
624,TAMIL NADU,Theni,1245899,625683,620216,870080,479403,390677,368900,222742,530591,61051,654257,38367,315161,14939,223175,147529,312310,4667,18830,189328,221295,90590,219747,213496,156676,95231,101147,14674,618923,373564,252267,1145
625,TAMIL NADU,Virudhunagar,1942288,967709,974579,1398788,760375,638413,579111,371047,854066,96092,992130,57153,208702,35298,649005,235005,505950,10219,37357,363782,370942,163264,398670,317054,230321,138306,167506,35156,987538,575006,378174,1570
626,TAMIL NADU,Ramanathapuram,1353445,682658,670787,978946,536487,442459,392751,210226,486150,116827,750468,173767,153874,25228,250108,100484,291400,5172,22379,290478,126761,246909,293886,236511,189132,105978,97405,16785,708322,389764,252888,2471
627,TAMIL NADU,Thoothukkudi,1750176,865021,885155,1349697,703106,646591,503727,244368,657447,90648,1002081,48515,200644,22863,476073,200616,437916,11455,35791,336078,300661,153922,372036,315817,227154,133010,155613,31525,887717,499377,361374,1708
628,TAMIL NADU,Tirunelveli,3077233,1520912,1556321,2273457,1210710,1062747,876175,560279,1271407,165047,1640779,115715,379763,239664,701312,361760,779130,19070,63590,547962,516705,263517,618656,517646,390495,220088,247635,71437,1554277,876129,644563,2264
629,TAMIL NADU,Kanniyakumari,1870374,926345,944029,1548738,780541,768197,524629,154991,552658,126962,1190754,15610,72867,35789,555354,199188,465692,15673,52943,104253,493788,134236,331559,314029,322511,226312,254107,43034,887052,556548,425849,925
630,TAMIL NADU,Dharmapuri,1506843,774303,732540,917709,527599,390110,446057,305113,652996,98174,755673,201328,267345,15341,267156,104785,337972,3651,18927,396819,91107,129778,240222,221194,177877,103367,112592,26069,804186,434328,267536,793
631,TAMIL NADU,Krishnagiri,1879809,960232,919577,1187958,667062,520896,561634,316145,742001,135778,1002030,236038,263328,21918,356495,151246,409237,9619,38239,437988,142552,135813,290351,289026,276694,133744,137081,24128,1034474,533183,311238,914
632,TAMIL NADU,Coimbatore,3458045,1729297,1728748,2635907,1394790,1241117,1083125,484825,1443252,124698,1890095,80217,230026,50085,1207622,675153,896325,63273,149920,284795,884957,220388,466745,523563,526165,273098,440520,53709,1579517,1117221,757738,3569
633,TAMIL NADU,Tiruppur,2479052,1246159,1232893,1760566,959623,800943,819783,446354,1168596,97541,1212915,135817,246333,40988,842999,463530,655073,17181,55311,356886,538022,192583,444390,369432,298635,170870,179733,21436,1177987,794639,504674,1752
634,PONDICHERRY,Yanam,55626,27301,28325,39274,19919,19355,14047,2713,15373,1387,38866,291,3324,146,12999,10399,12859,207,597,0,15519,3804,10954,8806,8044,4101,3836,1315,31973,15235,8402,16
635,PONDICHERRY,PONDICHERRY,950289,468258,482031,726649,380946,345703,256652,91453,315570,32535,602184,9393,51908,6350,280454,170120,226316,15437,34007,87296,203741,61364,127754,150478,152482,81519,134067,17367,473705,299746,176204,634
636,PONDICHERRY,Mahe,41816,19143,22673,36470,16610,19860,9093,2709,10404,1398,30014,43,82,69,11608,3632,7150,574,1484,0,12110,2948,6043,7930,8773,5711,4475,978,19760,12543,9428,85
637,PONDICHERRY,Karaikal,200222,97809,102413,154916,79903,75013,53139,15162,58342,9959,131921,2372,13077,1327,51525,28366,47880,1868,4870,35618,33715,18943,32899,33458,29456,15930,18998,4877,102333,60089,37434,366
638,ANDAMAN AND NICOBAR ISLANDS,Nicobars,36842,20727,16115,25332,15397,9935,12714,4411,9651,7474,19717,322,242,2560,14001,3644,9301,57,230,15958,0,2406,5984,7699,6325,3668,1300,364,18786,12088,5922,46
639,ANDAMAN AND NICOBAR ISLANDS,North  AND Middle Andaman,105597,54861,50736,78683,43186,35497,30612,7967,31038,7541,67018,10727,1915,260,25677,5897,18641,388,1193,39091,1094,16126,21215,21293,12707,10042,5133,809,57350,30741,17464,42
640,ANDAMAN AND NICOBAR ISLANDS,South Andaman,238142,127283,110859,190266,105794,84472,77563,19268,85221,11610,141311,5518,2624,907,87782,31998,52479,2789,6771,34901,50631,16301,33267,42741,42150,29910,22388,3077,128402,76332,33128,280
