District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Male_Workers,Female_Workers,Frontline_Workers,Industrial_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated
498,MAHARASHTRA,Dhule,2050862,1054031,996831,1293916,723388,570528,570448,365922,825875,110495,1114492,239139,429536,20646,247049,126138,315332,6065,27139,382777,146013,200494,323641,208571,290656,182739,114931,14526,1167569,513908,350747,18638
499,MAHARASHTRA,Jalgaon,4229917,2197365,2032552,2891882,1629223,1262659,1186472,677099,1643955,219616,2366346,384359,937174,38930,503108,350029,720791,14297,56775,796223,373565,482462,735730,532587,627198,375643,229987,31008,2352671,1080237,763529,33480
500,MAHARASHTRA,Buldana,2586258,1337560,1248698,1879874,1048892,830982,734024,485617,1107542,112099,1366617,385447,603227,13770,217197,103898,423036,4767,24877,575405,152787,315408,457067,400342,406379,228266,113783,19619,1467457,641840,473071,3890
501,MAHARASHTRA,Akola,1813906,932334,881572,1411281,758977,652304,520362,247792,691025,77129,1045752,129680,388521,9660,240293,107463,314490,6163,24232,308158,196077,231841,328367,275264,291391,205723,112574,15157,998769,483200,327932,4005
502,MAHARASHTRA,Washim,1197160,620302,576858,869917,487703,382214,340353,229439,502755,67037,627368,165598,310195,7122,86877,36840,196022,1875,10757,274925,55921,166509,238985,160331,162762,116032,47865,7294,682919,302425,210185,1631
503,MAHARASHTRA,Amravati,2888445,1480768,1407677,2251875,1207104,1044771,837577,398745,1061544,174778,1652123,198793,667943,20998,348588,175917,512492,9438,36185,508921,272894,326195,468853,463051,525116,346876,203273,16148,1540590,783549,553265,11041
504,MAHARASHTRA,Wardha,1300774,668385,632389,1019458,552617,466841,392316,215919,529623,78612,692539,132989,282170,13785,179291,114029,266155,4313,16260,268486,120218,140470,186781,201471,225208,158055,93772,7017,659540,370227,270107,900
505,MAHARASHTRA,Nagpur,4653570,2384975,2268595,3673808,1959220,1714588,1334211,534349,1654778,213782,2785010,206606,423587,52419,1185948,599780,917626,57964,135750,430844,877522,325084,666693,812381,790443,542228,493236,73475,2460820,1361821,818467,12462
506,MAHARASHTRA,Bhandara,1200334,605520,594814,899860,488709,411151,345054,252251,413838,183467,603029,123099,312183,17169,144854,55948,227025,2932,13165,283843,72575,115150,187870,208902,204435,153749,67061,12452,626978,333120,232754,7482
507,MAHARASHTRA,Gondiya,1322507,661554,660953,1004243,542837,461406,383151,282268,433962,231457,657088,186509,281414,32525,164971,38044,239981,2866,13595,319702,66813,138457,237888,231153,225595,159570,57923,9620,704214,371908,244111,2274
